"UIDVideo","UIDWeb","treatment","perfil","Valence1","Valence2","Arousal1","Arousal2","ValenceX1","ValenceX2","ArousalX1","ArousalX2","Diff2_Valence","Diff2_Arousal","Diff2_ValenceX","Diff2_ArousalX","sitio","video","t_perfil","t_video"
"161120221536366","2281-2-1-22-7-SCESS-LAB-06F","1","7",-0.054069804842974,-0.288753054132713,0.205446673222992,0.257650465180262,-0.0549562692407082,-0.288794182075796,0.205212752742613,0.257672516870879,-0.23468324928974,0.0522037919572696,-0.233837912835088,0.0524597641282662,"Perfil",0,"perfil","texto"
"161120221536288","7089-1-1-21-5-SCESS-LAB-08H","1","5",-0.140494019573713,-0.0509485961071428,0.413608469746678,0.376687853257079,-0.140494019573713,-0.0509485961071428,0.413608469746678,0.376687853257079,0.0895454234665698,-0.0369206164895983,0.0895454234665698,-0.0369206164895983,"Perfil",0,"perfil","texto"
"1711202215375610","185-1-4-23-1-SCESS-LAB-10J","4","1",-0.260752515782498,-0.399673456067793,0.413844246467871,0.361699516235914,-0.260343159754057,-0.400000216486429,0.413792654502527,0.361742006672725,-0.138920940285296,-0.0521447302319568,-0.139657056732372,-0.0520506478298022,"Perfil",0,"perfil","texto"
"1711202215424914","9894-2-2-22-6-SCESS-LAB-014N","2","6",-0.214061648341905,-0.345656348927822,0.255300237273016,0.174768958230533,-0.214061648341905,-0.345657743416959,0.255300237273016,0.174756537932615,-0.131594700585918,-0.0805312790424828,-0.131596095075054,-0.0805436993404013,"Video",1,"producto","video"
"171120221537017","2698-2-3-21-7-SCESS-LAB-07G","3","7",-0.197570587356993,-0.0977273622287061,0.294581935826831,0.276150364259033,-0.197570587356993,-0.09770171284574,0.294581935826831,0.276145481025563,0.0998432251282867,-0.0184315715677973,0.0998688745112529,-0.0184364548012679,"VideoPerfil",1,"perfil","video"
"211120221637593","8966-2-1-23-7-SCESS-LAB-03C","1","7",-0.210240794281879,-0.180479867159333,0.126611958680729,0.081021093472381,-0.210240794281879,-0.180479867159333,0.126611958680729,0.081021093472381,0.0297609271225459,-0.0455908652083477,0.0297609271225459,-0.0455908652083477,"Perfil",0,"perfil","texto"
"211120221639126","1002-2-5-23-2-SCESS-LAB-06F","5","2",-0.126676865378257,-0.116383220336992,0.279096507846661,0.281488010846228,-0.126676865378257,-0.116383220336992,0.279096507846661,0.281488010846228,0.0102936450412652,0.00239150299956697,0.0102936450412652,0.00239150299956697,"Video",1,"producto","video"
"221120221601043","4181-2-4-19-1-SCESS-LAB-03C","4","1",-0.115955705228682,-0.232541058180855,0.327999343507752,0.358090612392719,-0.115955705228682,-0.232541058180855,0.327999343507752,0.358090612392719,-0.116585352952173,0.0300912688849668,-0.116585352952173,0.0300912688849668,"Perfil",0,"perfil","texto"
"221120221603304","1354-2-7-20-4-SCESS-LAB-04D","7","4",-0.23443808094898,-0.120161910606702,0.178773837887591,0.15327076107672,-0.23443808094898,-0.120161910606702,0.178773837887591,0.15327076107672,0.114276170342278,-0.0255030768108709,0.114276170342278,-0.0255030768108709,"Baseline",0,"producto","texto"
"221120221601536","2437-2-2-19-8-SCESS-LAB-06F","2","8",-0.247476136411069,-0.200292882429309,0.193200905584989,0.11910213858221,-0.247476136411069,-0.200253871254877,0.193200905584989,0.119170528714414,0.0471832539817596,-0.0740987670027787,0.0472222651561916,-0.0740303768705749,"Video",1,"producto","video"
"221120221600067","4798-1-7-23-3-SCESS-LAB-07G","7","3",-0.29151374704891,-0.144490858812278,0.276328998024957,0.263187866596575,-0.29151374704891,-0.144490858812278,0.276328998024957,0.263187866596575,0.147022888236632,-0.0131411314283819,0.147022888236632,-0.0131411314283819,"Baseline",0,"producto","texto"
"231120221553312","6673-1-8-25-7-SCESS-LAB-02B","8","7",-0.340155533128813,-0.198586794221181,0.160141914767285,0.149828653905875,-0.340155533128813,-0.198611997889085,0.160141914767285,0.149762775045949,0.141568738907632,-0.0103132608614101,0.141543535239728,-0.0103791397213359,"Baseline",0,"producto","texto"
"231120221643173","6663-2-8-21-7-SCESS-LAB-03C","8","7",-0.0503082202678955,-0.0865331175062696,0.263795014278034,0.243357634421929,-0.0503074835073426,-0.0865331175062696,0.263797630490015,0.243357634421929,-0.036224897238374,-0.0204373798561052,-0.036225633998927,-0.0204399960680867,"Baseline",0,"producto","texto"
"231120221645424","3625-1-1-20-8-SCESS-LAB-04D","1","8",-0.0281343387774918,-0.066039210670068,0.250085395035464,0.207132534580499,-0.0281343387774918,-0.066039210670068,0.250085395035464,0.207132534580499,-0.0379048718925763,-0.0429528604549652,-0.0379048718925763,-0.0429528604549652,"Perfil",0,"perfil","texto"
"231120221552486","8791-2-3-22-6-SCESS-LAB-06F","3","6",-0.0292987048839286,-0.0134689820190273,0.255264388800935,0.225025267799891,-0.0292987048839286,-0.0134689820190273,0.255264388800935,0.225025267799891,0.0158297228649013,-0.0302391210010439,0.0158297228649013,-0.0302391210010439,"VideoPerfil",1,"perfil","video"
"231120221551018","9671-1-4-22-1-SCESS-LAB-08H","4","1",-0.05964594158914,-0.0581715921109694,0.265122296005831,0.237061694897959,-0.05964594158914,-0.0581715921109694,0.265122296005831,0.237061694897959,0.00147434947817056,-0.0280606011078717,0.00147434947817056,-0.0280606011078717,"Perfil",0,"perfil","texto"
"2411202215340310","6769-2-2-20-8-SCESS-LAB-10J","2","8",-0.0583697229373737,-0.103154899948768,0.292264911803752,0.30658874337264,-0.0583697229373737,-0.103126161935756,0.292264911803752,0.306653750144984,-0.0447851770113941,0.0143238315688882,-0.0447564389983824,0.0143888383412318,"Video",1,"producto","video"
