"Created date","Updated date","userid","gf_clickaqui.p5","ps_masinfo.p5","ps_inicio.p5","cm_clickaqui.p5","cm_masinfo.p5","videoplay_cm.p5","volveratras_pg.p5","volveratras_difmodmix.p5","gf_masinfo.p5","difmodmix_inicio.p5","bleaesto_masinfo.p5","rpahorros_inicio.p5","ps_instrucciones.p5","volverinicio_instrucciones.p5","volveratras_ps.p5","cm_inicio.p5","volverinicio_clickaqui.p5","volveratras_gf.p5","pg_masinfo.p5","gf_inicio.p5","volveratras_ctiempo.p5","volveratras_cm.p5","modmixtas_inicio.p5","videopausa_ps.p5","difmodmix_masinfo.p5","rpsalud_inicio.p5","pg_inicio.p5","ctiempo_inicio.p5","videopausa_cm.p5","cm_instrucciones.p5","ctiempo_masinfo.p5","bcontestaryn_masinfo.p5","pg_rv.p5","inicio_wix.p5","videoplay_ps.p5","rv_inicio.p5","y_contestar.p5","bleaesto_inicio.p5","bcontestaryn_inicio.p5","volverinicio_rv.p5","gf_rv.p5","cmvideoplay_rv.p5","cmvideopausa_rv.p5","psvideoplay_rv.p5","volverinicio_masinfo.p5","psvideopausa_rv.p5","ps_contestar.p5","cm_contestar.p5","n_contestar.p5"
2022-07-29T15:32:15Z,2022-07-29T15:32:36Z,"3651-1-5-59-0",,,,,,,,,,,,,,,,,"2022-06-29 11:32:26",,,,,,,,,,,,,,,,,"2022-07-29 11:32:14 ; 2022-07-29 11:32:27",,,"2022-06-29 11:32:35","2022-07-29 11:32:15","2022-07-29 11:32:31",,,,,,,,,,
2022-07-30T21:28:37Z,2022-07-30T21:53:43Z,"8771-2-5-58-0",,,,,,"2022-07-30 17:29:01","2022-07-30 17:53:23",,,,,,,,"2022-07-30 17:42:16","2022-07-30 17:28:53",,"2022-07-30 17:50:21",,,,"2022-07-30 17:35:40",,"2022-07-30 17:41:41",,,,,,,,,,"2022-07-30 17:28:36 ; 2022-07-30 17:35:42 ; 2022-07-30 17:42:18 ; 2022-07-30 17:50:33 ; 2022-07-30 17:53:25","2022-07-30 17:35:51 ; 2022-07-30 17:38:23 ; 2022-07-30 17:38:26 ; 2022-07-30 17:41:42 ; 2022-07-30 17:41:43 ; 2022-07-30 17:41:44","2022-07-30 17:42:33","2022-07-30 17:53:41",,"2022-07-30 17:53:32","2022-07-30 17:50:31","2022-07-30 17:46:25",,,,,,,,
2022-07-29T17:54:45Z,2022-07-29T18:20:07Z,"7233-2-5-63-0",,,"2022-07-29 14:10:31",,,"2022-06-29 14:03:37",,,,,,,,,"2022-06-29 14:15:38","2022-07-29 14:03:34","2022-06-29 14:03:24",,,,,"2022-06-29 14:10:27","2022-07-29 14:18:34","2022-06-29 14:15:34",,,,,"2022-06-29 14:10:18",,,,,"2022-07-29 13:54:44 ; 2022-07-29 14:03:25 ; 2022-07-29 14:10:27 ; 2022-07-29 14:15:39 ; 2022-07-29 14:19:08 ; 2022-07-29 14:19:31","2022-06-29 14:10:35",,"2022-06-29 14:20:06","2022-07-29 13:54:56","2022-07-29 14:19:48",,,,,,,,,,
2022-07-28T01:24:31Z,2022-07-28T01:35:54Z,"5525-2-5-54-0",,,,,,,,,,,,"2022-06-27 21:24:30",,,,,,,,,,,"2022-06-27 21:25:11",,,,,,,,,,,"2022-06-27 21:25:21 ; 2022-06-27 21:35:52",,,"2022-06-27 21:25:27",,"2022-06-27 21:25:22",,,,,,,,,,
2022-07-31T22:02:49Z,2022-07-31T22:05:12Z,"787-2-5-52-0",,,,,,"2022-07-31 18:02:54",,,,,,,,,,"2022-07-31 18:02:49",,,,,,"2022-07-31 18:03:55",,,,,,,,,,,,"2022-07-31 18:02:47 ; 2022-07-31 18:03:56",,,"2022-07-31 18:05:10",,"2022-07-31 18:05:01",,,,,,,,,,
2022-07-29T01:20:23Z,2022-07-29T01:26:56Z,"7139-2-5-68-0",,,"2022-07-28 21:20:42 ; 2022-07-28 21:21:25 ; 2022-07-28 21:23:27",,,,,,,,"2022-06-28 21:25:27",,,,"2022-06-28 21:21:43","2022-07-28 21:21:54 ; 2022-07-28 21:24:18 ; 2022-07-28 21:24:27 ; 2022-07-28 21:24:42 ; 2022-07-28 21:26:07 ; 2022-07-28 21:26:16","2022-06-28 21:26:06",,,,,"2022-06-28 21:23:20 ; 2022-06-28 21:24:40 ; 2022-06-28 21:26:11",,,,,,,,,,"2022-06-28 21:26:34",,"2022-07-28 21:20:21 ; 2022-07-28 21:21:14 ; 2022-07-28 21:21:44 ; 2022-07-28 21:23:21 ; 2022-07-28 21:24:15 ; 2022-07-28 21:24:24 ; 2022-07-28 21:24:40 ; 2022-07-28 21:26:12",,,"2022-06-28 21:26:54",,,,,,,,,,,,
2022-07-30T05:18:59Z,2022-07-30T05:25:38Z,"3364-2-5-54-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-30 17:18:58 ; 2022-07-30 17:25:37",,,"2022-07-30 17:19:09",,"2022-07-30 17:19:04",,,,,,,,,,
2022-07-29T13:19:45Z,2022-07-29T13:27:41Z,"7470-2-5-52-0",,,,,,"2022-06-29 09:19:53 ; 2022-06-29 09:20:15 ; 2022-06-29 09:20:23 ; 2022-06-29 09:22:25",,,,,,,,,,"2022-07-29 09:19:48 ; 2022-07-29 09:20:20",,,,,,"2022-06-29 09:23:01",,,,,,,"2022-06-29 09:20:14",,,,,"2022-07-29 09:19:43 ; 2022-07-29 09:20:18 ; 2022-07-29 09:22:54 ; 2022-07-29 09:23:02",,,"2022-06-29 09:27:40",,"2022-07-29 09:27:33",,,,,,,,,,
2022-07-29T14:18:48Z,2022-07-29T14:39:14Z,"9531-2-5-55-0",,,"2022-07-29 10:30:17",,,"2022-06-29 10:19:46 ; 2022-06-29 10:21:48 ; 2022-06-29 10:25:16",,,,,,,,,,"2022-07-29 10:19:41",,,,,,,,"2022-06-29 10:34:57",,"2022-07-29 10:36:01",,"2022-07-29 10:38:23","2022-06-29 10:21:52",,,,,"2022-07-29 10:18:48 ; 2022-07-29 10:19:28 ; 2022-07-29 10:30:09 ; 2022-07-29 10:30:16 ; 2022-07-29 10:35:24 ; 2022-07-29 10:35:31 ; 2022-07-29 10:38:10 ; 2022-07-29 10:38:57","2022-06-29 10:30:25 ; 2022-06-29 10:35:00","2022-07-29 10:35:38","2022-06-29 10:39:14",,"2022-07-29 10:39:02",,,,,,,,,,
2022-07-29T13:54:13Z,2022-07-29T13:54:49Z,"6697-1-5-59-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 09:54:12",,"2022-07-29 09:54:24","2022-06-29 09:54:48",,"2022-07-29 09:54:42",,,,,,,,,,
