"Created date","Updated date","userid","perfil4_inicio.p6","y_contestar.p6","perfil2_inicio.p6","bcontestaryn_inicio.p6","perfil3_inicio.p6","perfil1_inicio.p6","volverinicio_saludable.p6","video_ps.p6","volveratras_ps.p6","n_contestar.p6","cm_contestar.p6","volverinicio_contestar.p6","videopausa_ps.p6","videoplay_ps.p6","volveratras_clickaqui.p6","volverinicio_masinfo.p4","leaesto_inicio.p6","bcontestaryn_masinfo.p4","cm_instrucciones.p6","ps_instrucciones.p6","volveratras_cm.p6","volverinicio_novoyavivir.p6","volverinicio_heahorrado.p6","volverinicio_sinsalud.p6","cm_masinfo.p4","volveratras_difmodmix.p6","ps_masinfo.p4","difmodmix_masinfo.p4","pg_masinfo.p4","gf_masinfo.p4","volveratras_ctiempo.p6","volveratras_gf.p6","ctiempo_masinfo.p4","volveratras_pg.p6","gf_novoyavivir.p6","difmodmix_heahorrado.p6","ctiempo_novoyavivir.p6","gf_sinsalud.p6","gf_heahorrado.p6","ctiempo_sinsalud.p6","gf_saludable.p6","pg_saludable.p6","gf_clickaqui.p6","cm_clickaqui.p6","psvideopausa_novoyavivir.p6","volverinicio_clickaqui.p6","cmvideoplay_saludable.p6","cmvideoplay_novoyavivir.p6","psvideoplay_novoyavivir.p6","cmvideopausa_novoyavivir.p6","videoplay_cm.p6","psvideopausa_saludable.p6","volverinicio_instrucciones.p6","videopausa_cm.p6","cmvideopausa_saludable.p6","psvideoplay_saludable.p6","cmvideoplay_heahorrado.p6","psvideopausa_heahorrado.p6","cmvideopausa_heahorrado.p6","psvideoplay_heahorrado.p6","inicio_wix.p6","bleaesto_masinfo.p4","psvideoplay_sinsalud.p6","ps_contestar.p6","psvideopausa_sinsalud.p6","volverinicio_masinfo.p6","bleaesto_masinfo.p6","bcontestaryn_masinfo.p6","difmodmix_masinfo.p6","ctiempo_masinfo.p6","bcontestaryn_saludable.p6","bcontestaryn_heahorrado.p6","bcontestaryn_novoyavivir.p6","bcontestaryn_sinsalud.p6","ps_masinfo.p6","cmvideoplay_sinsalud.p6","cmvideopausa_sinsalud.p6","cm_masinfo.p6"
2022-08-01T15:08:58Z,2022-08-01T15:14:41Z,"966-1-6-53-0","2022-08-01 11:10:29 ; 2022-08-01 11:14:10",,,,"2022-08-01 11:11:05","2022-08-01 11:09:35 ; 2022-08-01 11:11:59 ; 2022-08-01 11:12:36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 11:08:58 ; 2022-08-01 11:09:21 ; 2022-08-01 11:09:31 ; 2022-08-01 11:10:20 ; 2022-08-01 11:11:57 ; 2022-08-01 11:12:33 ; 2022-08-01 11:14:01",,,,,,,,,,,,"2022-08-01 11:14:41",,,,,
2022-07-29T13:29:10Z,2022-07-29T13:30:11Z,"6787-2-6-59-0",,,"2022-07-29 09:30:01",,,,,,,,,,,,,,"2022-07-29 09:29:21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-29 09:29:46",,,,,,,,,,,,,,,"2022-07-29 09:29:09 ; 2022-07-29 09:29:16 ; 2022-07-29 09:29:47",,,,,,,,,,,,,"2022-06-29 09:30:10",,,,
2022-07-29T15:15:34Z,2022-07-29T15:17:31Z,"9271-1-6-63-0",,"2022-06-29 11:17:30",,,"2022-07-29 11:16:26",,,,,,,,,,,,"2022-07-29 11:16:01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-29 11:16:14",,,,,,,,,,,,"2022-06-29 11:17:00",,"2022-06-29 11:16:43 ; 2022-06-29 11:17:01","2022-07-29 11:15:33 ; 2022-07-29 11:15:51 ; 2022-07-29 11:16:15",,,,,,,,,,,"2022-06-29 11:17:25",,,,,,
2022-07-29T14:01:00Z,2022-07-29T14:02:35Z,"7331-2-6-65-0",,,,,"2022-07-29 10:01:20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 10:00:59 ; 2022-07-29 10:01:11",,,,,,,,,,,"2022-06-29 10:02:33",,,,,,
2022-07-29T19:33:29Z,2022-07-29T19:34:43Z,"2918-1-6-61-0",,"2022-06-29 15:34:42",,,,"2022-07-29 15:34:04",,,,,,,,,,,"2022-07-29 15:33:32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-29 15:33:54",,,,,,,,,,,,,,,"2022-07-29 15:33:28 ; 2022-07-29 15:33:55",,,,,,,,,,"2022-06-29 15:34:30",,,,,,,
2022-07-28T17:47:35Z,2022-07-28T17:48:02Z,"1996-2-6-55-0",,"2022-06-28 13:46:41",,,,"2022-06-28 13:46:19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-28 13:46:14",,,,,,,,,,"2022-06-28 13:46:28",,,,,,,
2022-07-29T00:59:35Z,2022-07-29T01:00:24Z,"5024-1-6-61-0",,"2022-06-28 21:00:23",,"2022-07-28 21:00:10",,,,,,,,,,,,,"2022-07-28 20:59:40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-28 20:59:34 ; 2022-07-28 20:59:56",,,,,,,,,,,,,,,,,
2022-07-30T00:11:14Z,2022-07-30T00:11:45Z,"8502-2-6-51-0",,"2022-07-29 20:11:44",,,,"2022-07-29 20:11:19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 20:11:13",,,,,,,,,,"2022-07-29 20:11:34",,,,,,,
2022-07-31T23:51:51Z,2022-08-01T00:07:21Z,"3716-2-6-62-0",,"2022-07-31 20:07:19",,,,"2022-07-31 19:52:41",,,"2022-07-31 20:07:10",,,,,"2022-07-31 20:02:14",,,"2022-07-31 19:51:52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-31 19:52:19","2022-07-31 19:53:01",,,,,,,,"2022-07-31 19:59:41",,,,,,"2022-07-31 19:51:51 ; 2022-07-31 19:52:20 ; 2022-07-31 19:52:38",,,"2022-07-31 20:02:09",,,,,,,"2022-07-31 20:01:52",,,,,,,
2022-07-29T15:16:37Z,2022-07-29T15:19:18Z,"3264-2-6-62-0",,"2022-06-29 11:19:18",,,,"2022-07-29 11:17:10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 11:16:37 ; 2022-07-29 11:17:05",,,,,,,,,,"2022-06-29 11:19:07",,,,,,,
2022-08-01T13:38:26Z,2022-08-01T14:31:37Z,"2683-2-6-62-0","2022-08-01 10:31:32","2022-08-01 09:41:00","2022-08-01 10:30:03","2022-08-01 09:40:03","2022-08-01 10:30:52","2022-08-01 10:28:50",,,"2022-08-01 10:28:32",,"2022-08-01 10:13:17","2022-08-01 10:28:42",,"2022-08-01 10:23:35",,,"2022-08-01 09:38:42",,,,"2022-08-01 10:23:24",,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 09:39:59","2022-08-01 10:29:28","2022-08-01 10:31:36",,,,,,"2022-08-01 10:13:52 ; 2022-08-01 10:15:54",,,"2022-08-01 10:30:55 ; 2022-08-01 10:31:13",,,,"2022-08-01 09:38:25 ; 2022-08-01 09:40:00 ; 2022-08-01 10:28:43 ; 2022-08-01 10:30:00 ; 2022-08-01 10:30:46 ; 2022-08-01 10:31:26",,,"2022-08-01 10:23:27",,,,,,,,,,,,"2022-08-01 10:30:06",,
